없네
놈이
분
멋지시네
소중하신
봐라
남기면
카톡
같이
배고파
화를
빼버려야돼
존나
가라앉히셨으면
지가
개빡쳐
말을
재수
슈발
분이
끝이냐?
개좋아
좋아
보존하세요
완전
해봅시다
말하는
고귀하신
짜증이야
아니
맛없어
승질이야
이름
뽄새
바쁘실텐데
조심히
개빡친다
하든가
할거면
바쁘면
조정했어야지
걔
가세요
아
미친
프리라이더
진짜
옥체
스케쥴
꺼져
제대로
카톡만
왜
감사합니다
행복하세요
열심히
당신
없어
놈이네
어우
해주던가
바쁘다고
새끼
좋겠습니다
건강하세요
아름다우세요
죽을래?
귀인이
죽고싶냐?
나한테
남겨주셔서
매우
그
알아서
뭔데
미리미리
모습이
